OID_,Value,Count,shawn_ltas_r,LC16_BPS_200,LC20_EVT_220,MAP_UNIT_S,MAP_UNIT_N,CONCEPT,FORESTNAME,BPS_MODEL,BPS_NAME,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,EVT_NAME,EVT_PHYS,EVT_GP_N
58,58,185.000000000000000,10,2017,7908,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,Eastern Cool Temperate Urban Herbaceous,Developed,Developed-Upland Herbaceous
59,59,35.000000000000000,10,2015,7296,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13040_32_43_44_49,Ozark-Ouachita Dry-Mesic Oak Forest,188,66,15,11,Developed-Low Intensity,Developed-Low Intensity,Developed-Low Intensity
60,60,22.000000000000000,10,2017,7975,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,Eastern Cool Temperate Close Grown Crop,Agricultural,Agricultural-Close Grown Crop
61,61,134.000000000000000,10,2029,7296,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,14210_49_52,Central Tallgrass Prairie,4,NA,NA,4,Developed-Low Intensity,Developed-Low Intensity,Developed-Low Intensity
62,62,6.000000000000000,10,2015,7975,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13040_32_43_44_49,Ozark-Ouachita Dry-Mesic Oak Forest,188,66,15,11,Eastern Cool Temperate Close Grown Crop,Agricultural,Agricultural-Close Grown Crop
63,63,6506.000000000000000,10,11,7292,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,NA,Open Water,NA,NA,NA,NA,Open Water,Open Water,Open Water
64,64,104.000000000000000,10,2020,7305,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13140_49,North-Central Interior Maple-Basswood Forest,1030,NA,845,464,Southern Interior Low Plateau Dry-Mesic Oak Forest,Hardwood,Chestnut Oak Forest and Woodland
65,65,76.000000000000000,10,2017,7929,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,Eastern Cool Temperate Developed Herbaceous,Developed,Developed-Upland Herbaceous
66,66,226.000000000000000,10,2017,7909,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,Eastern Cool Temperate Urban Shrubland,Developed,Developed-Upland Shrubland
67,67,15.000000000000000,10,2029,7907,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,14210_49_52,Central Tallgrass Prairie,4,NA,NA,4,Eastern Cool Temperate Urban Mixed Forest,Developed,Developed-Upland Mixed Forest
68,68,14.000000000000000,10,2015,7925,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13040_32_43_44_49,Ozark-Ouachita Dry-Mesic Oak Forest,188,66,15,11,Eastern Cool Temperate Developed Deciduous Forest,Developed,Developed-Upland Deciduous Forest
69,69,44.000000000000000,10,2020,7905,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13140_49,North-Central Interior Maple-Basswood Forest,1030,NA,845,464,Eastern Cool Temperate Urban Deciduous Forest,Developed,Developed-Upland Deciduous Forest
70,70,5.000000000000000,10,2015,7298,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13040_32_43_44_49,Ozark-Ouachita Dry-Mesic Oak Forest,188,66,15,11,Developed-High Intensity,Developed-High Intensity,Developed-High Intensity
71,71,291.000000000000000,10,2029,7905,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,14210_49_52,Central Tallgrass Prairie,4,NA,NA,4,Eastern Cool Temperate Urban Deciduous Forest,Developed,Developed-Upland Deciduous Forest
72,72,34.000000000000000,10,2015,7909,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13040_32_43_44_49,Ozark-Ouachita Dry-Mesic Oak Forest,188,66,15,11,Eastern Cool Temperate Urban Shrubland,Developed,Developed-Upland Shrubland
73,73,14.000000000000000,10,2015,7297,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13040_32_43_44_49,Ozark-Ouachita Dry-Mesic Oak Forest,188,66,15,11,Developed-Medium Intensity,Developed-Medium Intensity,Developed-Medium Intensity
74,74,4.000000000000000,10,2020,7311,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13140_49,North-Central Interior Maple-Basswood Forest,1030,NA,845,464,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Black Oak Woodland and Savanna
75,75,318.000000000000000,10,2017,9180,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,North-Central Interior Freshwater Marsh,Riparian,Inland Marshes and Prairies
76,76,78.000000000000000,10,2017,7925,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,Eastern Cool Temperate Developed Deciduous Forest,Developed,Developed-Upland Deciduous Forest
77,77,74.000000000000000,10,2029,9180,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,14210_49_52,Central Tallgrass Prairie,4,NA,NA,4,North-Central Interior Freshwater Marsh,Riparian,Inland Marshes and Prairies
78,78,13.000000000000000,10,2029,7925,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,14210_49_52,Central Tallgrass Prairie,4,NA,NA,4,Eastern Cool Temperate Developed Deciduous Forest,Developed,Developed-Upland Deciduous Forest
79,79,3.000000000000000,10,2020,7518,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13140_49,North-Central Interior Maple-Basswood Forest,1030,NA,845,464,North-Central Interior Wet Flatwoods,Riparian,Hardwood Flatwoods
80,80,57.000000000000000,10,2017,7907,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,Eastern Cool Temperate Urban Mixed Forest,Developed,Developed-Upland Mixed Forest
81,81,24.000000000000000,10,2029,9317,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,14210_49_52,Central Tallgrass Prairie,4,NA,NA,4,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,Introduced Upland Vegetation-Shrub
82,82,25.000000000000000,10,2015,7908,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13040_32_43_44_49,Ozark-Ouachita Dry-Mesic Oak Forest,188,66,15,11,Eastern Cool Temperate Urban Herbaceous,Developed,Developed-Upland Herbaceous
83,83,23.000000000000000,10,2029,7929,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,14210_49_52,Central Tallgrass Prairie,4,NA,NA,4,Eastern Cool Temperate Developed Herbaceous,Developed,Developed-Upland Herbaceous
84,84,11.000000000000000,10,2015,9317,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13040_32_43_44_49,Ozark-Ouachita Dry-Mesic Oak Forest,188,66,15,11,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,Introduced Upland Vegetation-Shrub
85,85,14.000000000000000,10,2020,9180,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13140_49,North-Central Interior Maple-Basswood Forest,1030,NA,845,464,North-Central Interior Freshwater Marsh,Riparian,Inland Marshes and Prairies
86,86,114.000000000000000,10,2017,9683,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,North-Central Interior Wet Meadow,Riparian,Inland Marshes and Prairies
87,87,4.000000000000000,10,2015,7518,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13040_32_43_44_49,Ozark-Ouachita Dry-Mesic Oak Forest,188,66,15,11,North-Central Interior Wet Flatwoods,Riparian,Hardwood Flatwoods
88,88,8.000000000000000,10,2017,7927,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13100_49,North-Central Interior Dry-Mesic Oak Forest and Woodland,75,47,23,13,Eastern Cool Temperate Developed Mixed Forest,Developed,Developed-Upland Mixed Forest
89,89,2.000000000000000,10,2029,7927,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,14210_49_52,Central Tallgrass Prairie,4,NA,NA,4,Eastern Cool Temperate Developed Mixed Forest,Developed,Developed-Upland Mixed Forest
90,90,7.000000000000000,10,2015,7907,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13040_32_43_44_49,Ozark-Ouachita Dry-Mesic Oak Forest,188,66,15,11,Eastern Cool Temperate Urban Mixed Forest,Developed,Developed-Upland Mixed Forest
91,91,2.000000000000000,10,2015,7927,223Dh01,West Deep Loess (Greater SH),West Deep Loess (Greater SH),Shawnee National Forest,13040_32_43_44_49,Ozark-Ouachita Dry-Mesic Oak Forest,188,66,15,11,Eastern Cool Temperate Developed Mixed Forest,Developed,Developed-Upland Mixed Forest
